,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,Jiazi,22.8779,116.067,87.89,65,36,7.56,CN,1658972751
284,Erenhot,43.6475,111.9767,81.59,23,20,8.28,CN,1658972751
285,Berlevag,70.8578,29.0864,49.95,93,100,23.02,NO,1658972633
286,Hasaki,35.7333,140.8333,91.29,80,72,16.04,JP,1658972752
287,Belaya Gora,68.5333,146.4167,62.47,34,97,13.31,RU,1658972752
288,Gillette,44.2911,-105.5022,74.86,44,19,13.0,US,1658972580
289,Awbari,26.5921,12.7805,78.87,16,0,6.82,LY,1658972752
290,Thunder Bay,48.4001,-89.3168,60.78,88,100,3.44,CA,1658972753
291,Taoudenni,22.6783,-3.9836,98.33,6,6,16.28,ML,1658972753
292,Havelock,34.8791,-76.9013,82.94,88,63,7.0,US,1658972753
293,Tiarei,-17.5333,-149.3333,84.22,79,23,27.76,PF,1658972754
294,Port Keats,-14.25,129.55,82.56,28,44,10.8,AU,1658972754
295,Vaitape,-16.5167,-151.75,78.69,75,13,25.48,PF,1658972755
296,Mandan,46.8267,-100.8896,69.37,56,0,11.5,US,1658972755
297,Palmer,42.1584,-72.3287,75.06,74,75,3.44,US,1658972755
298,Barcelos,41.5388,-8.6151,64.85,79,1,2.53,PT,1658972661
299,Mindyak,54.0231,58.7891,53.74,84,79,4.18,RU,1658972755
300,Rovaniemi,66.5,25.7167,51.21,87,100,8.05,FI,1658972756
301,Santa Maria,-29.6842,-53.8069,63.7,100,20,4.61,BR,1658972532
302,Hong Gai,20.956,107.0946,89.51,63,51,4.27,VN,1658972756
303,Yulara,-25.2406,130.9889,57.49,23,10,13.98,AU,1658972654
304,Yantai,37.5333,121.4,82.35,74,91,5.82,CN,1658972756
305,Nikolskoye,59.7035,30.7861,57.79,94,0,4.41,RU,1658972757
306,Diamantino,-14.4086,-56.4461,71.33,39,0,4.94,BR,1658972757
307,Altay,47.8667,88.1167,74.88,29,15,3.42,CN,1658972757
308,Lumphat,13.4878,106.9816,82.62,82,79,1.81,KH,1658972758
309,Durres,41.3231,19.4414,77.18,67,15,2.57,AL,1658972758
310,Cockburn Town,21.4612,-71.1419,81.23,77,0,20.74,TC,1658972758
311,Vondrozo,-22.8167,47.2833,58.96,91,79,2.17,MG,1658972759
312,Missoula,47.0166,-113.8009,88.2,28,3,3.6,US,1658972701
313,Itarema,-2.9248,-39.9167,78.91,78,100,14.63,BR,1658972518
314,Avera,33.194,-82.5271,81.91,57,52,8.86,US,1658972759
315,Shimoda,34.6667,138.95,87.1,77,94,8.77,JP,1658972759
316,Helong,42.5397,128.9972,83.89,56,96,4.23,CN,1658972760
317,Samarai,-10.6167,150.6667,79.11,84,91,11.59,PG,1658972699
318,Honiara,-9.4333,159.95,86.88,64,100,8.72,SB,1658972760
319,Komotini,41.1228,25.3964,73.81,48,0,6.69,GR,1658972760
320,Apricena,41.7839,15.4437,67.82,75,0,1.14,IT,1658972761
321,Ocos,14.5094,-92.1933,80.47,74,36,0.89,GT,1658972761
322,Gao,16.6362,1.637,90.27,42,100,18.37,ML,1658972633
323,El Seibo,18.7641,-69.0375,76.53,90,0,6.46,DO,1658972761
324,Margate,51.3813,1.3862,63.9,76,100,3.0,GB,1658972578
325,Eleusis,38.0476,23.5349,83.66,40,0,3.44,GR,1658972762
326,Makakilo City,21.3469,-158.0858,89.92,45,0,14.97,US,1658972822
327,Tucumcari,35.1717,-103.725,76.84,61,100,10.36,US,1658972822
328,Axim,4.8699,-2.2405,75.99,82,99,13.56,GH,1658972726
329,Pinyug,60.251,47.7842,58.3,84,4,4.85,RU,1658972823
330,Alofi,-19.0595,-169.9187,78.69,78,20,16.11,NU,1658972823
331,Kidal,18.4411,1.4078,91.08,35,71,15.88,ML,1658972823
332,Pitimbu,-7.4706,-34.8086,73.99,80,88,8.39,BR,1658972824
333,Georgetown,5.4112,100.3354,82.33,86,20,5.99,MY,1658972570
334,Saskylakh,71.9167,114.0833,70.92,58,85,10.11,RU,1658972807
335,Ardud,47.6333,22.8833,61.57,94,80,1.14,RO,1658972824
336,Chesma,53.8111,60.6533,55.17,83,1,10.25,RU,1658972824
337,Khatanga,71.9667,102.5,69.69,48,88,2.48,RU,1658972566
338,Batagay-Alyta,67.8006,130.4114,79.86,44,41,3.65,RU,1658972773
339,Nantucket,41.2835,-70.0995,75.25,85,0,6.91,US,1658972825
340,Goderich,43.7501,-81.7165,73.72,78,0,9.22,CA,1658972825
341,Fos-Sur-Mer,43.4377,4.9446,73.51,43,0,3.44,FR,1658972825
342,Waw,7.7029,27.9953,70.02,92,100,3.27,SS,1658972826
343,Nelidovo,56.2211,32.7774,60.44,96,100,3.18,RU,1658972826
344,Mehamn,71.0357,27.8492,49.91,100,100,21.85,NO,1658972826
345,Uzhhorod,48.6167,22.3,66.47,68,94,5.39,UA,1658972826
346,Ambilobe,-13.2,49.05,63.19,91,6,3.15,MG,1658972827
347,Dodge City,37.7528,-100.0171,86.25,56,100,1.99,US,1658972827
348,Plant City,28.0186,-82.1129,80.62,89,0,0.0,US,1658972827
349,Plettenberg Bay,-34.0527,23.3716,55.35,75,0,5.48,ZA,1658972828
350,Sistranda,63.7256,8.834,48.16,73,100,12.48,NO,1658972828
351,Kushmurun,52.4503,64.6311,63.19,68,61,17.43,KZ,1658972828
352,Mayumba,-3.432,10.6554,68.68,89,26,1.39,GA,1658972829
353,Ixtapa,20.7,-105.2,82.22,94,100,1.01,MX,1658972829
354,Sechura,-5.5569,-80.8222,63.97,81,6,17.25,PE,1658972771
355,Saldanha,-33.0117,17.9442,44.65,68,0,4.47,ZA,1658972829
356,Svetlaya,46.5389,138.3297,68.85,82,43,6.71,RU,1658972829
357,Mao,39.8885,4.2658,73.96,73,0,0.0,ES,1658972830
358,Bantou,26.2151,117.4893,95.05,50,67,0.81,CN,1658972830
359,Lakes Entrance,-37.8811,147.981,55.17,56,63,12.26,AU,1658972730
360,Laguna,38.421,-121.4238,99.32,35,0,12.66,US,1658972737
361,Kermanshah,34.3142,47.065,63.5,15,0,0.0,IR,1658972830
362,Katobu,-4.9408,122.5276,83.48,58,17,9.62,ID,1658972831
363,Grand Gaube,-20.0064,57.6608,67.37,79,3,3.0,MU,1658972831
364,Marang,5.2056,103.2059,78.71,72,93,6.13,MY,1658972831
365,Koslan,63.4564,48.8989,59.36,68,16,5.46,RU,1658972832
366,Charters Towers,-20.1,146.2667,67.84,29,0,10.11,AU,1658972832
367,Hargeysa,9.56,44.065,68.05,54,39,27.42,SO,1658972832
368,Beringovskiy,63.05,179.3167,48.7,92,100,2.89,RU,1658972671
369,Kedrovyy,56.1667,91.8167,61.21,58,74,2.46,RU,1658972833
370,Bon Accord,53.8335,-113.4187,81.95,67,44,5.61,CA,1658972833
371,Vao,-22.6667,167.4833,69.15,68,100,7.72,NC,1658972833
372,Yar-Sale,66.8333,70.8333,59.99,63,100,12.37,RU,1658972834
373,Lorengau,-2.0226,147.2712,84.63,72,50,12.37,PG,1658972894
374,Souillac,-20.5167,57.5167,66.58,94,40,4.61,MU,1658972894
375,Bolshaya Sosnova,57.6713,54.6029,56.71,80,21,4.72,RU,1658972895
376,Shumskiy,54.8318,99.1328,65.8,53,100,0.87,RU,1658972895
377,Freeport,40.6576,-73.5832,79.41,73,0,8.05,US,1658972895
378,Smithers,54.7804,-127.1743,88.12,33,0,6.91,CA,1658972710
379,Shache,38.4167,77.2406,88.47,18,3,5.86,CN,1658972896
380,Rio Grande,-32.035,-52.0986,60.17,96,96,7.49,BR,1658972896
381,Husavik,66.0449,-17.3389,53.71,84,49,8.12,IS,1658972896
382,Vezirkopru,41.1436,35.4547,57.69,76,0,0.34,TR,1658972897
383,Guerrero Negro,27.9769,-114.0611,70.21,78,63,16.37,MX,1658972858
384,Chuncheng,22.1731,111.7886,89.8,64,9,1.48,CN,1658972897
385,Atar,20.5169,-13.0499,96.71,17,53,18.07,MR,1658972627
386,Henties Bay,-22.116,14.2845,53.47,82,2,4.18,NA,1658972897
387,Lebedyn,50.5852,34.4849,63.61,87,75,5.77,UA,1658972898
388,Paysandu,-32.3214,-58.0756,64.6,86,84,6.89,UY,1658972898
389,Lagoa,39.05,-27.9833,71.22,81,0,7.74,PT,1658972781
390,Bosaso,11.2842,49.1816,89.31,37,56,25.48,SO,1658972898
391,Mikumi,-7.4041,36.9831,62.65,83,43,1.34,TZ,1658972898
392,Kapit,2.0167,112.9333,85.01,69,69,1.45,MY,1658972899
393,Siena,43.2167,11.4,72.16,80,0,2.77,IT,1658972899
394,Eureka,40.8021,-124.1637,66.2,80,23,1.01,US,1658972757
395,Humaita,-7.5061,-63.0208,76.15,45,0,1.45,BR,1658972899
396,Ormond Beach,29.2858,-81.0559,84.29,87,20,4.61,US,1658972862
397,Tilichiki,60.4667,166.1,49.28,67,100,14.99,RU,1658972900
398,Bonavista,48.6499,-53.1147,60.28,95,11,10.69,CA,1658972900
399,Yeppoon,-23.1333,150.7333,65.98,49,0,7.7,AU,1658972900
400,Kadnikov,59.5022,40.338,62.56,98,100,4.61,RU,1658972901
401,Vila Franca Do Campo,37.7167,-25.4333,73.81,93,66,3.31,PT,1658972901
402,Mitchell,43.7094,-98.0298,75.18,55,75,11.5,US,1658972901
403,Kalmunai,7.4167,81.8167,79.27,77,99,2.73,LK,1658972901
404,Krasnoye,49.9145,24.6134,56.98,90,84,3.49,UA,1658972902
405,Bom Jesus,-9.0744,-44.3586,71.13,49,78,0.94,BR,1658972902
406,Montepuez,-13.1256,38.9997,59.92,84,3,5.88,MZ,1658972902
407,Puri,19.8,85.85,82.92,72,84,9.42,IN,1658972903
408,Ternate,0.8,127.4,82.17,76,95,3.27,ID,1658972903
409,Presidencia Roque Saenz Pena,-26.7852,-60.4388,74.66,42,68,6.02,AR,1658972903
410,Mporokoso,-9.3727,30.125,54.19,65,9,5.84,ZM,1658972904
411,Turangi,-39.0,175.9333,48.25,97,100,10.36,NZ,1658972757
412,Severnoye,56.3491,78.3619,65.08,87,100,6.64,RU,1658972904
413,Haines Junction,60.7522,-137.5108,55.35,71,100,4.61,CA,1658972904
414,Arlit,18.7369,7.3853,88.72,41,98,21.77,NE,1658972904
415,Isiro,2.7739,27.616,66.16,100,99,1.5,CD,1658972905
416,Portland,45.5234,-122.6762,98.46,42,20,10.36,US,1658972782
417,Rumphi,-11.0186,33.8575,54.7,93,12,3.78,MW,1658972905
418,Sembe,1.6481,14.5806,72.48,86,92,3.06,CG,1658972905
419,Esteio,-29.8614,-51.1792,68.38,93,100,1.14,BR,1658972906
420,Manavalakurichi,8.1333,77.3,76.89,86,59,10.47,IN,1658972906
421,Tuatapere,-46.1333,167.6833,44.56,94,100,1.77,NZ,1658972906
422,Alcaudete,37.5909,-4.0824,72.54,33,0,1.07,ES,1658972967
423,La Lira,20.4667,-100.15,55.11,100,100,9.22,MX,1658972967
424,Coahuayana,18.7333,-103.6833,79.59,80,100,1.66,MX,1658972967
425,Qasigiannguit,68.8193,-51.1922,44.85,93,100,1.1,GL,1658972967
426,Srednekolymsk,67.45,153.6833,55.63,44,99,10.69,RU,1658972968
427,Prieska,-29.6641,22.7474,53.24,32,0,2.59,ZA,1658972968
428,Bireun,5.203,96.7009,79.92,79,100,1.1,ID,1658972968
429,Sibolga,1.7427,98.7792,83.37,60,43,1.28,ID,1658972969
430,Lydenburg,-25.0978,30.4597,46.63,67,4,3.65,ZA,1658972969
431,Varzea Da Palma,-17.5981,-44.7308,62.2,62,0,2.66,BR,1658972969
432,Acapulco,16.8634,-99.8901,78.75,85,100,2.04,MX,1658972858
433,Ust-Ilimsk,58.0006,102.6619,57.34,91,100,3.83,RU,1658972970
434,Santo Domingo,18.5001,-69.9886,77.94,83,75,0.0,DO,1658972772
435,Sisimiut,66.9395,-53.6735,42.1,90,54,0.65,GL,1658972970
436,Bambous Virieux,-20.3428,57.7575,67.21,94,40,4.61,MU,1658972970
437,Moose Factory,51.2585,-80.6094,64.4,94,100,5.75,CA,1658972673
438,Thinadhoo,0.5333,72.9333,83.1,72,96,13.91,MV,1658972921
439,Pacific Grove,36.6177,-121.9166,71.02,83,75,8.05,US,1658972793
440,Deputatskiy,69.3,139.9,60.46,42,81,5.75,RU,1658972971
441,Vardo,70.3705,31.1107,53.58,87,100,13.8,NO,1658972971
442,Teacapan,22.55,-105.75,82.72,81,100,6.24,MX,1658972971
443,Ballina,-28.8667,153.5667,65.01,54,0,5.46,AU,1658972972
444,Biu,10.6129,12.1946,67.15,89,100,4.88,NG,1658972972
445,Nakhon Si Thammarat,8.25,100.0,89.02,74,91,3.29,TH,1658972972
446,Aklavik,68.2191,-135.0107,56.23,54,96,14.88,CA,1658972973
447,Coquimbo,-29.9533,-71.3436,55.36,86,100,5.03,CL,1658972730
448,Kloulklubed,7.0419,134.2556,82.9,71,100,7.27,PW,1658972973
449,Prince Rupert,54.3161,-130.3201,67.69,80,0,14.97,CA,1658972686
450,Dwarahat,29.7833,79.4333,69.26,92,90,1.03,IN,1658972973
451,Ust-Maya,60.4167,134.5333,83.75,43,97,2.59,RU,1658972974
452,Balkanabat,39.5108,54.3671,88.32,31,0,9.71,TM,1658972974
453,Celestun,20.8667,-90.4,82.09,76,88,12.86,MX,1658972974
454,Marshfield,44.6689,-90.1718,74.28,64,20,8.05,US,1658972975
455,Stornoway,58.2093,-6.3865,48.92,97,100,1.14,GB,1658972962
456,Pokhara,28.2333,83.9833,71.06,96,100,0.92,NP,1658972975
457,Havre,49.5833,0.3333,64.17,48,0,11.5,FR,1658972975
458,Gamba,-2.65,10.0,68.61,92,33,2.95,GA,1658972975
459,Pangai,-19.8,-174.35,80.71,74,40,18.41,TO,1658972976
460,Lavrentiya,65.5833,-171.0,41.9,82,100,7.31,RU,1658972737
461,Hastings,50.8552,0.5729,63.91,91,100,11.72,GB,1658972976
462,Mbarara,-0.608,30.65,68.11,54,99,0.94,UG,1658972976
463,Ouesso,1.6136,16.0517,70.72,93,66,1.5,CG,1658972977
464,Porto-Vecchio,41.591,9.2795,74.73,77,0,3.44,FR,1658972977
465,Ayagoz,47.9714,80.4392,82.51,26,16,13.0,KZ,1658972977
466,Saint-Pierre,-21.3393,55.4781,67.91,70,75,6.91,RE,1658972779
467,Icatu,-2.7758,-44.0658,81.03,88,18,5.21,BR,1658972978
468,Dhrangadhra,22.9833,71.4667,80.19,82,90,9.1,IN,1658972978
469,Springfield,37.2153,-93.2982,82.02,84,0,5.01,US,1658972852
470,Port Blair,11.6667,92.75,82.44,83,75,2.3,IN,1658973038
471,Kholodnyy,62.7167,147.95,63.5,40,38,1.32,RU,1658973039
472,Dafeng,23.4517,108.5881,88.38,59,100,2.39,CN,1658973039
473,Gagra,43.3283,40.2239,63.52,72,0,3.96,GE,1658973039
474,Griffith,41.5284,-87.4237,79.9,94,40,0.0,US,1658973040
475,Mrakovo,52.7161,56.6244,58.96,93,19,2.82,RU,1658973040
476,Lagoa Formosa,-18.7786,-46.4075,56.01,56,0,0.49,BR,1658973040
477,Aldan,58.6031,125.3894,81.64,48,6,0.31,RU,1658973041
478,Nuuk,64.1835,-51.7216,40.12,95,72,14.07,GL,1658973041
479,High Prairie,55.4334,-116.4858,81.19,48,2,7.34,CA,1658973041
480,Petatlan,17.5167,-101.2667,78.87,83,100,3.6,MX,1658973041
481,Camargo,27.6667,-105.1667,86.36,34,27,7.4,MX,1658973042
482,Bara,10.3744,10.7288,70.48,97,100,6.87,NG,1658972768
483,Evensk,61.95,159.2333,58.66,53,68,2.95,RU,1658972996
484,Zhezkazgan,47.8043,67.7144,67.98,60,0,8.95,KZ,1658973042
485,Terracina,41.2863,13.2217,75.92,79,0,4.23,IT,1658973042
486,Muncar,-8.4333,114.3333,78.82,75,95,6.89,ID,1658973043
487,Iqaluit,63.7506,-68.5145,51.53,71,75,3.44,CA,1658973043
488,Ojinaga,29.5667,-104.4167,88.75,42,40,13.8,MX,1658973043
489,Faanui,-16.4833,-151.75,78.69,76,15,25.5,PF,1658973044
490,Egvekinot,66.3167,-179.1667,39.31,81,100,5.35,RU,1658973044
491,Altamira,-3.2033,-52.2064,77.47,71,100,1.97,BR,1658973044
492,Rabo De Peixe,37.8,-25.5833,72.91,83,75,4.61,PT,1658973044
493,Ostrovnoy,68.0531,39.5131,59.9,86,58,15.86,RU,1658973045
494,Luwingu,-10.2621,29.9271,49.91,70,5,3.36,ZM,1658973045
495,Floro,61.5996,5.0328,46.36,87,10,4.61,NO,1658973045
496,Lafiagi,8.8667,5.4167,72.48,96,100,3.8,NG,1658973046
497,Bratsk,56.1325,101.6142,61.29,63,100,7.7,RU,1658972768
498,Port Macquarie,-31.4333,152.9167,63.9,47,0,5.59,AU,1658973046
499,Tautira,-17.7333,-149.15,76.98,79,42,26.33,PF,1658973046
500,Thurso,58.5927,-3.5259,50.86,87,100,6.67,GB,1658973047
501,Verkhoyansk,67.5447,133.385,81.21,40,99,3.29,RU,1658973047
502,Natal,-5.795,-35.2094,75.42,88,0,5.75,BR,1658973047
503,Benemerito De Las Americas,16.5167,-90.6439,74.32,96,100,0.94,MX,1658973047
504,Peniche,39.3558,-9.3811,65.28,90,0,13.02,PT,1658973048
505,Druzhba,52.0428,33.9453,60.84,95,42,6.22,UA,1658973048
506,Claudio,-20.4433,-44.7658,59.76,57,1,3.31,BR,1658973048
507,Buraydah,26.326,43.975,90.05,13,100,7.11,SA,1658973049
508,Praya,14.9215,-23.5087,79.34,83,20,1.14,CV,1658972857
509,Bubaque,11.2833,-15.8333,79.99,77,100,8.14,GW,1658973049
510,Newtonmore,57.066,-4.1192,48.94,94,100,3.33,GB,1658973049
511,Balvi,57.1313,27.2658,48.67,86,67,4.88,LV,1658973050
512,Punta Ocote,15.2,-87.2833,68.88,93,29,3.09,HN,1658973050
513,Vanavara,60.34,102.2797,65.23,71,100,2.48,RU,1658973050
514,Burns Lake,54.2331,-125.7533,89.02,33,1,4.32,CA,1658973050
515,Vancouver,49.2497,-123.1193,89.02,55,20,8.05,CA,1658973058
516,Shizunai,42.3339,142.3669,75.09,79,45,10.36,JP,1658973111
517,Ndola,-12.9587,28.6366,51.93,81,8,5.19,ZM,1658973111
518,Pangnirtung,66.1451,-65.7125,54.72,67,100,1.83,CA,1658972900
519,Coaldale,49.7167,-112.6185,79.79,50,20,10.36,CA,1658973111
520,La Rioja,42.25,-2.5,55.18,87,0,3.18,ES,1658973112
521,Carutapera,-1.195,-46.02,75.13,88,100,5.61,BR,1658972899
522,Hualmay,-11.0964,-77.6139,61.97,85,39,11.34,PE,1658973112
523,Fuzhou,26.0614,119.3061,85.89,51,47,2.19,CN,1658973112
524,Batemans Bay,-35.7167,150.1833,57.09,46,22,5.12,AU,1658973113
525,Porto Belo,-27.1578,-48.5531,66.25,92,71,6.53,BR,1658973113
526,Sarkand,45.41,79.9186,80.71,37,95,8.88,KZ,1658973113
527,Albanel,48.8832,-72.4487,66.18,82,100,5.75,CA,1658973113
528,Kieta,-6.2167,155.6333,85.91,64,13,8.37,PG,1658972887
529,Naze,28.3667,129.4833,83.32,81,81,15.79,JP,1658973114
530,Basco,20.4487,121.9702,85.39,77,95,12.77,PH,1658973114
531,Kresttsy,58.2452,32.5165,59.34,99,100,2.86,RU,1658973114
532,Zhangjiakou,40.81,114.8794,73.85,61,19,2.44,CN,1658973115
533,Muros,42.7762,-9.0603,60.1,84,87,2.71,ES,1658973115
534,Kozhva,65.1073,57.0459,61.21,57,69,6.17,RU,1658973115
535,Varhaug,58.6147,5.6457,50.49,81,51,18.07,NO,1658973116
536,Graaff-Reinet,-32.2522,24.5308,43.92,94,5,1.72,ZA,1658973116
537,Agnibilekrou,7.1344,-3.2047,70.07,97,97,4.23,CI,1658973116
538,Aksarka,66.5606,67.7975,61.79,62,97,11.21,RU,1658973117
539,Zemio,5.0314,25.1361,68.34,98,100,3.78,CF,1658973117
540,Tevriz,57.509,72.4042,58.19,94,100,8.03,RU,1658973117
541,Krosno Odrzanskie,52.0549,15.0988,50.85,72,0,3.04,PL,1658973117
542,Peoria,40.7667,-89.7668,77.68,75,55,5.41,US,1658973118
543,Vrangel,42.7297,133.0839,73.53,85,20,5.91,RU,1658973118
544,Meulaboh,4.1363,96.1285,78.89,81,96,2.15,ID,1658973118
545,Luba,3.4568,8.5547,76.89,89,100,12.37,GQ,1658973119
546,Yatou,37.15,122.3833,77.36,90,100,9.62,CN,1658973119
547,Mitsamiouli,-11.3847,43.2844,75.54,70,37,5.73,KM,1658973119
548,Santa Rosa,14.3122,121.1114,87.12,83,100,8.66,PH,1658972878
549,Ossora,59.2353,163.0719,56.05,74,100,2.75,RU,1658972968
550,Buchanan,5.8808,-10.0467,74.7,85,100,10.6,LR,1658973120
551,Vestmannaeyjar,63.4427,-20.2734,51.96,77,93,15.57,IS,1658973016
552,Tashla,51.7716,52.7427,67.69,76,3,3.56,RU,1658973120
553,Mayachnyy,52.6839,55.685,61.05,88,2,3.09,RU,1658973120
554,Akyab,20.15,92.9,83.61,76,83,4.65,MM,1658973120
555,Puerto Del Rosario,28.5004,-13.8627,73.15,73,20,16.11,ES,1658973121
556,Sao Joao Da Barra,-21.6403,-41.0511,69.06,82,0,10.04,BR,1658973121
557,Benjamin Constant,-4.3831,-70.0311,77.13,88,72,2.35,BR,1658973121
558,Ulaanbaatar,47.9077,106.8832,51.93,76,40,2.24,MN,1658973013
559,Svetlyy,54.675,20.1347,57.96,81,85,14.5,RU,1658973122
560,San Pedro,14.35,121.0167,86.36,83,75,8.05,PH,1658972959
561,Canton,23.1167,113.25,91.35,47,28,3.85,CN,1658973008
562,Bahir Dar,11.5936,37.3908,59.45,93,100,3.36,ET,1658973122
563,Vikersund,59.9659,9.995,59.49,63,100,2.24,NO,1658973182
564,Domoni,-12.2569,44.5319,73.42,72,1,9.48,KM,1658973183
565,Oranjemund,-28.55,16.4333,51.93,84,0,2.33,NA,1658973183
566,Teguise,29.0605,-13.564,70.02,78,100,16.11,ES,1658973183
